efg,efg_code,efg_name,efg_pixel_value,biome,biome_code,biome_name,biome_pixel_value,realm,realm_code,realm_name,realm_pixel_value
No Data,NA,No Data,0,No Data,NA,No Data,0,No Data,NA,No Data,0
T1.1 Tropical/Subtropical lowland rainforests,T1.1,Tropical/Subtropical lowland rainforests,1,T1 Tropical-subtropical forests,T1,Tropical-subtropical forests,1,T Terrestrial,T,Terrestrial,1
T1.2 Tropical/Subtropical dry forests and thickets,T1.2,Tropical/Subtropical dry forests and thickets,2,T1 Tropical-subtropical forests,T1,Tropical-subtropical forests,1,T Terrestrial,T,Terrestrial,1
T1.3 Tropical/Subtropical montane rainforests,T1.3,Tropical/Subtropical montane rainforests,3,T1 Tropical-subtropical forests,T1,Tropical-subtropical forests,1,T Terrestrial,T,Terrestrial,1
T1.4 Tropical heath forests,T1.4,Tropical heath forests,4,T1 Tropical-subtropical forests,T1,Tropical-subtropical forests,1,T Terrestrial,T,Terrestrial,1
T2.1 Boreal and temperate high montane forests and woodlands,T2.1,Boreal and temperate high montane forests and woodlands,7,T2 Temperate-boreal forests and woodlands,T2,Temperate-boreal forests and woodlands,2,T Terrestrial,T,Terrestrial,1
T2.2 Deciduous temperate forests,T2.2,Deciduous temperate forests,8,T2 Temperate-boreal forests and woodlands,T2,Temperate-boreal forests and woodlands,2,T Terrestrial,T,Terrestrial,1
T2.3 Oceanic cool temperate rainforests,T2.3,Oceanic cool temperate rainforests,9,T2 Temperate-boreal forests and woodlands,T2,Temperate-boreal forests and woodlands,2,T Terrestrial,T,Terrestrial,1
T2.4 Warm temperate laurophyll forests,T2.4,Warm temperate laurophyll forests,10,T2 Temperate-boreal forests and woodlands,T2,Temperate-boreal forests and woodlands,2,T Terrestrial,T,Terrestrial,1
T2.5 Temperate pyric humid forests,T2.5,Temperate pyric humid forests,11,T2 Temperate-boreal forests and woodlands,T2,Temperate-boreal forests and woodlands,2,T Terrestrial,T,Terrestrial,1
T2.6 Temperate pyric sclerophyll forests and woodlands,T2.6,Temperate pyric sclerophyll forests and woodlands,12,T2 Temperate-boreal forests and woodlands,T2,Temperate-boreal forests and woodlands,2,T Terrestrial,T,Terrestrial,1
T3.1 Seasonally dry tropical shrublands,T3.1,Seasonally dry tropical shrublands,16,T3 Shrublands and shrubby woodlands,T3,Shrublands and shrubby woodlands,3,T Terrestrial,T,Terrestrial,1
T3.2 Seasonally dry temperate heath and shrublands,T3.2,Seasonally dry temperate heath and shrublands,17,T3 Shrublands and shrubby woodlands,T3,Shrublands and shrubby woodlands,3,T Terrestrial,T,Terrestrial,1
T3.3 Cool temperate heathlands,T3.3,Cool temperate heathlands,18,T3 Shrublands and shrubby woodlands,T3,Shrublands and shrubby woodlands,3,T Terrestrial,T,Terrestrial,1
"T3.4 Young rocky pavements, lava flows and screes",T3.4,"Young rocky pavements, lava flows and screes",19,T3 Shrublands and shrubby woodlands,T3,Shrublands and shrubby woodlands,3,T Terrestrial,T,Terrestrial,1
T4.1 Trophic savannas,T4.1,Trophic savannas,22,T4 Savannas and grasslands,T4,Savannas and grasslands,4,T Terrestrial,T,Terrestrial,1
T4.2 Pyric tussock savannas,T4.2,Pyric tussock savannas,23,T4 Savannas and grasslands,T4,Savannas and grasslands,4,T Terrestrial,T,Terrestrial,1
T4.3 Hummock savannas,T4.3,Hummock savannas,24,T4 Savannas and grasslands,T4,Savannas and grasslands,4,T Terrestrial,T,Terrestrial,1
T4.4 Temperate woodlands,T4.4,Temperate woodlands,25,T4 Savannas and grasslands,T4,Savannas and grasslands,4,T Terrestrial,T,Terrestrial,1
T4.5 Temperate subhumid grasslands,T4.5,Temperate subhumid grasslands,26,T4 Savannas and grasslands,T4,Savannas and grasslands,4,T Terrestrial,T,Terrestrial,1
T5.1 Semi-desert steppe,T5.1,Semi-desert steppe,30,T5 Deserts and semi-deserts,T5,Deserts and semi-deserts,5,T Terrestrial,T,Terrestrial,1
T5.2 Succulent or Thorny deserts and semi-deserts,T5.2,Succulent or Thorny deserts and semi-deserts,31,T5 Deserts and semi-deserts,T5,Deserts and semi-deserts,5,T Terrestrial,T,Terrestrial,1
T5.3 Sclerophyll hot deserts and semi-deserts,T5.3,Sclerophyll hot deserts and semi-deserts,32,T5 Deserts and semi-deserts,T5,Deserts and semi-deserts,5,T Terrestrial,T,Terrestrial,1
T5.4 Cool deserts and semi-deserts,T5.4,Cool deserts and semi-deserts,33,T5 Deserts and semi-deserts,T5,Deserts and semi-deserts,5,T Terrestrial,T,Terrestrial,1
T5.5 Hyper-arid deserts,T5.5,Hyper-arid deserts,34,T5 Deserts and semi-deserts,T5,Deserts and semi-deserts,5,T Terrestrial,T,Terrestrial,1
